nst	mnbt	c	median_decode_tok_s	agg_tok_s	ttft_ms
5	16384	1	83.5	70.4	285
5	16384	4	54.3	165.0	741
5	16384	8	42.5	241.8	1084
5	16384	16	16.8	214.3	1727
