nodes	mnbt	c	median_decode_tok_s	agg_tok_s	ttft_ms
3	8192	1	25.2	24.5	157
3	8192	4	23.2	85.6	471
3	8192	8	21.4	150.8	805
3	8192	16	17.5	225.4	1765
