2026/08/30 09:03:48.937, 2567 MHz, 52, 15.27 W, 0 %
2026/08/30 09:03:53.945, 2567 MHz, 55, 22.11 W, 96 %
2026/08/30 09:03:58.945, 2528 MHz, 61, 58.22 W, 96 %
2026/08/30 09:04:03.946, 2541 MHz, 58, 34.38 W, 93 %
2026/08/30 09:04:08.947, 2522 MHz, 62, 53.71 W, 96 %
2026/08/30 09:04:13.948, 2541 MHz, 60, 34.49 W, 94 %
2026/08/30 09:04:18.948, 2515 MHz, 65, 50.38 W, 96 %
2026/08/30 09:04:23.949, 2515 MHz, 66, 60.30 W, 96 %
2026/08/30 09:04:28.950, 2541 MHz, 62, 34.35 W, 94 %
2026/08/30 09:04:33.951, 2509 MHz, 68, 59.94 W, 96 %
2026/08/30 09:04:38.952, 2522 MHz, 63, 35.11 W, 94 %
2026/08/30 09:04:43.953, 2509 MHz, 68, 56.47 W, 96 %
2026/08/30 09:04:48.954, 2522 MHz, 64, 36.22 W, 94 %
2026/08/30 09:04:53.955, 2509 MHz, 69, 59.69 W, 95 %
2026/08/30 09:04:58.955, 2522 MHz, 65, 36.09 W, 94 %
2026/08/30 09:05:03.957, 2509 MHz, 69, 56.38 W, 96 %
2026/08/30 09:05:08.958, 2509 MHz, 69, 57.96 W, 96 %
2026/08/30 09:05:13.959, 2522 MHz, 66, 35.65 W, 94 %
2026/08/30 09:05:18.960, 2509 MHz, 69, 57.28 W, 96 %
2026/08/30 09:05:23.961, 2522 MHz, 66, 36.21 W, 93 %
2026/08/30 09:05:28.961, 2496 MHz, 71, 59.09 W, 95 %
2026/08/30 09:05:33.963, 2522 MHz, 67, 36.57 W, 94 %
2026/08/30 09:05:38.964, 2515 MHz, 70, 47.26 W, 87 %
2026/08/30 09:05:43.965, 2496 MHz, 72, 61.27 W, 96 %
2026/08/30 09:05:48.966, 2522 MHz, 67, 36.45 W, 94 %
2026/08/30 09:05:53.967, 2496 MHz, 73, 61.55 W, 96 %
2026/08/30 09:05:58.967, 2522 MHz, 68, 36.76 W, 95 %
2026/08/30 09:06:03.968, 2496 MHz, 72, 60.41 W, 96 %
2026/08/30 09:06:08.968, 2522 MHz, 69, 50.33 W, 96 %
2026/08/30 09:06:13.970, 2522 MHz, 69, 36.97 W, 94 %
2026/08/30 09:06:18.970, 2489 MHz, 73, 61.64 W, 96 %
2026/08/30 09:06:23.971, 2522 MHz, 69, 36.85 W, 94 %
2026/08/30 09:06:28.972, 2489 MHz, 73, 60.54 W, 96 %
2026/08/30 09:06:33.973, 2522 MHz, 70, 37.10 W, 94 %
2026/08/30 09:06:38.974, 2522 MHz, 73, 40.50 W, 94 %
2026/08/30 09:06:43.976, 2489 MHz, 75, 61.79 W, 96 %
2026/08/30 09:06:48.977, 2522 MHz, 70, 37.19 W, 93 %
2026/08/30 09:06:53.977, 2489 MHz, 73, 61.75 W, 96 %
2026/08/30 09:06:58.978, 2522 MHz, 70, 37.53 W, 94 %
2026/08/30 09:07:03.979, 2489 MHz, 75, 56.85 W, 96 %
2026/08/30 09:07:08.981, 2489 MHz, 72, 60.03 W, 96 %
2026/08/30 09:07:13.982, 2522 MHz, 70, 36.96 W, 93 %
2026/08/30 09:07:18.983, 2489 MHz, 75, 61.94 W, 95 %
2026/08/30 09:07:23.984, 2522 MHz, 70, 37.27 W, 93 %
2026/08/30 09:07:28.986, 2489 MHz, 74, 62.28 W, 96 %
2026/08/30 09:07:33.987, 2522 MHz, 71, 37.36 W, 92 %
2026/08/30 09:07:38.988, 2522 MHz, 70, 37.30 W, 94 %
2026/08/30 09:07:43.988, 2489 MHz, 75, 62.13 W, 96 %
2026/08/30 09:07:48.989, 2522 MHz, 70, 37.56 W, 94 %
2026/08/30 09:07:53.990, 2489 MHz, 74, 62.48 W, 96 %
2026/08/30 09:07:58.991, 2522 MHz, 71, 37.51 W, 92 %
2026/08/30 09:08:03.992, 2496 MHz, 74, 45.45 W, 75 %
2026/08/30 09:08:08.992, 2489 MHz, 75, 62.73 W, 96 %
2026/08/30 09:08:13.993, 2522 MHz, 71, 37.19 W, 93 %
2026/08/30 09:08:18.994, 2489 MHz, 76, 62.01 W, 96 %
2026/08/30 09:08:23.995, 2522 MHz, 71, 37.47 W, 93 %
2026/08/30 09:08:28.995, 2489 MHz, 75, 61.58 W, 96 %
2026/08/30 09:08:33.997, 2502 MHz, 72, 54.68 W, 96 %
2026/08/30 09:08:38.998, 2522 MHz, 71, 37.15 W, 93 %
2026/08/30 09:08:43.999, 2489 MHz, 76, 62.68 W, 96 %
2026/08/30 09:08:48.999, 2522 MHz, 71, 37.49 W, 94 %
2026/08/30 09:08:54.001, 2489 MHz, 75, 61.98 W, 96 %
2026/08/30 09:08:59.001, 2502 MHz, 72, 37.65 W, 93 %
2026/08/30 09:09:04.002, 2522 MHz, 71, 37.47 W, 94 %
2026/08/30 09:09:09.003, 2489 MHz, 76, 62.64 W, 96 %
2026/08/30 09:09:14.004, 2522 MHz, 71, 38.10 W, 94 %
2026/08/30 09:09:19.005, 2489 MHz, 76, 61.83 W, 96 %
2026/08/30 09:09:24.006, 2522 MHz, 71, 37.54 W, 94 %
2026/08/30 09:09:29.006, 2489 MHz, 76, 61.33 W, 96 %
2026/08/30 09:09:34.008, 2522 MHz, 72, 37.56 W, 94 %
2026/08/30 09:09:39.009, 2522 MHz, 71, 37.38 W, 93 %
2026/08/30 09:09:44.009, 2489 MHz, 75, 62.65 W, 96 %
2026/08/30 09:09:49.010, 2522 MHz, 71, 37.56 W, 94 %
2026/08/30 09:09:54.012, 2489 MHz, 75, 62.20 W, 96 %
2026/08/30 09:09:59.012, 2522 MHz, 71, 37.41 W, 94 %
2026/08/30 09:10:04.014, 2489 MHz, 75, 60.66 W, 96 %
2026/08/30 09:10:09.014, 2489 MHz, 72, 57.77 W, 96 %
2026/08/30 09:10:14.015, 2522 MHz, 71, 37.34 W, 93 %
2026/08/30 09:10:19.015, 2489 MHz, 75, 61.92 W, 96 %
2026/08/30 09:10:24.016, 2522 MHz, 71, 37.57 W, 94 %
2026/08/30 09:10:29.017, 2522 MHz, 69, 30.32 W, 75 %
2026/08/30 09:10:34.018, 2489 MHz, 75, 62.20 W, 96 %
2026/08/30 09:10:39.019, 2522 MHz, 70, 37.51 W, 93 %
2026/08/30 09:10:44.020, 2489 MHz, 72, 58.59 W, 96 %
2026/08/30 09:10:49.020, 2522 MHz, 71, 37.47 W, 93 %
2026/08/30 09:10:54.021, 2496 MHz, 73, 57.74 W, 96 %
2026/08/30 09:10:59.022, 2522 MHz, 71, 36.53 W, 93 %
2026/08/30 09:11:04.023, 2522 MHz, 66, 17.90 W, 0 %
2026/08/30 09:11:09.024, 2496 MHz, 72, 55.81 W, 96 %
2026/08/30 09:11:14.024, 2522 MHz, 70, 36.90 W, 94 %
2026/08/30 09:11:19.026, 2496 MHz, 74, 51.77 W, 96 %
2026/08/30 09:11:24.027, 2522 MHz, 70, 37.39 W, 94 %
2026/08/30 09:11:29.027, 2496 MHz, 73, 52.76 W, 96 %
2026/08/30 09:11:34.028, 2522 MHz, 70, 39.82 W, 94 %
