2026/08/30 07:24:04.948, 2502 MHz, 58, 17.57 W, 0 %
2026/08/30 07:24:09.958, 2502 MHz, 59, 17.84 W, 0 %
2026/08/30 07:24:14.959, 2483 MHz, 64, 38.23 W, 95 %
2026/08/30 07:24:19.960, 2476 MHz, 69, 44.77 W, 96 %
2026/08/30 07:24:24.961, 2483 MHz, 67, 38.99 W, 95 %
2026/08/30 07:24:29.962, 2483 MHz, 68, 41.28 W, 95 %
2026/08/30 07:24:34.963, 2483 MHz, 68, 39.62 W, 95 %
2026/08/30 07:24:39.963, 2483 MHz, 69, 39.87 W, 94 %
2026/08/30 07:24:44.964, 2483 MHz, 69, 51.16 W, 95 %
2026/08/30 07:24:49.965, 2483 MHz, 69, 40.12 W, 95 %
2026/08/30 07:24:54.966, 2483 MHz, 69, 39.81 W, 95 %
2026/08/30 07:24:59.966, 2450 MHz, 74, 48.26 W, 96 %
2026/08/30 07:25:04.967, 2483 MHz, 70, 39.97 W, 95 %
2026/08/30 07:25:09.967, 2483 MHz, 70, 41.58 W, 95 %
2026/08/30 07:25:14.969, 2483 MHz, 70, 40.03 W, 95 %
2026/08/30 07:25:19.969, 2483 MHz, 70, 39.99 W, 95 %
2026/08/30 07:25:24.969, 2450 MHz, 75, 67.10 W, 96 %
2026/08/30 07:25:29.970, 2483 MHz, 70, 40.15 W, 94 %
2026/08/30 07:25:34.972, 2483 MHz, 70, 40.10 W, 95 %
2026/08/30 07:25:39.972, 2483 MHz, 70, 40.10 W, 94 %
2026/08/30 07:25:44.973, 2483 MHz, 70, 40.23 W, 95 %
2026/08/30 07:25:49.974, 2483 MHz, 71, 50.28 W, 95 %
2026/08/30 07:25:54.974, 2470 MHz, 74, 44.70 W, 96 %
2026/08/30 07:25:59.976, 2450 MHz, 75, 68.06 W, 96 %
2026/08/30 07:26:04.977, 2483 MHz, 70, 40.03 W, 94 %
2026/08/30 07:26:09.977, 2450 MHz, 73, 66.64 W, 96 %
2026/08/30 07:26:14.978, 2450 MHz, 75, 68.08 W, 96 %
2026/08/30 07:26:19.979, 2483 MHz, 70, 40.10 W, 95 %
2026/08/30 07:26:24.980, 2444 MHz, 74, 68.03 W, 96 %
2026/08/30 07:26:29.980, 2483 MHz, 70, 39.98 W, 94 %
2026/08/30 07:26:34.981, 2450 MHz, 75, 50.96 W, 96 %
2026/08/30 07:26:39.982, 2450 MHz, 76, 67.58 W, 96 %
2026/08/30 07:26:44.983, 2483 MHz, 70, 40.30 W, 94 %
2026/08/30 07:26:49.983, 2450 MHz, 75, 67.84 W, 96 %
2026/08/30 07:26:54.983, 2463 MHz, 72, 59.53 W, 94 %
2026/08/30 07:26:59.984, 2483 MHz, 72, 40.39 W, 95 %
2026/08/30 07:27:04.985, 2444 MHz, 78, 68.49 W, 96 %
2026/08/30 07:27:09.986, 2463 MHz, 73, 41.13 W, 95 %
2026/08/30 07:27:14.987, 2450 MHz, 77, 67.49 W, 96 %
2026/08/30 07:27:19.989, 2450 MHz, 79, 69.31 W, 96 %
2026/08/30 07:27:24.989, 2463 MHz, 74, 41.13 W, 94 %
2026/08/30 07:27:29.989, 2450 MHz, 79, 69.12 W, 96 %
2026/08/30 07:27:34.989, 2457 MHz, 76, 62.53 W, 94 %
2026/08/30 07:27:39.990, 2463 MHz, 75, 41.49 W, 95 %
2026/08/30 07:27:44.991, 2431 MHz, 80, 69.96 W, 96 %
2026/08/30 07:27:49.992, 2463 MHz, 76, 42.24 W, 95 %
2026/08/30 07:27:54.992, 2431 MHz, 80, 69.04 W, 96 %
2026/08/30 07:27:59.993, 2437 MHz, 78, 67.61 W, 95 %
2026/08/30 07:28:04.994, 2457 MHz, 80, 45.48 W, 96 %
2026/08/30 07:28:09.996, 2437 MHz, 81, 70.09 W, 96 %
2026/08/30 07:28:14.997, 2463 MHz, 75, 41.43 W, 94 %
2026/08/30 07:28:19.998, 2450 MHz, 79, 68.66 W, 96 %
2026/08/30 07:28:24.999, 2444 MHz, 80, 67.84 W, 96 %
2026/08/30 07:28:30.000, 2463 MHz, 74, 41.09 W, 95 %
2026/08/30 07:28:35.001, 2444 MHz, 80, 68.89 W, 96 %
2026/08/30 07:28:40.001, 2463 MHz, 74, 41.70 W, 95 %
2026/08/30 07:28:45.003, 2450 MHz, 78, 52.66 W, 96 %
2026/08/30 07:28:50.004, 2450 MHz, 79, 69.51 W, 96 %
2026/08/30 07:28:55.004, 2444 MHz, 78, 69.62 W, 96 %
2026/08/30 07:29:00.005, 2444 MHz, 78, 70.61 W, 96 %
2026/08/30 07:29:05.006, 2444 MHz, 79, 70.89 W, 96 %
2026/08/30 07:29:10.008, 2463 MHz, 73, 41.06 W, 94 %
2026/08/30 07:29:15.009, 2450 MHz, 78, 68.20 W, 96 %
2026/08/30 07:29:20.011, 2450 MHz, 77, 68.42 W, 96 %
2026/08/30 07:29:25.011, 2444 MHz, 78, 69.78 W, 96 %
2026/08/30 07:29:30.013, 2450 MHz, 78, 69.47 W, 96 %
2026/08/30 07:29:35.014, 2444 MHz, 78, 70.40 W, 96 %
2026/08/30 07:29:40.015, 2463 MHz, 72, 40.87 W, 94 %
2026/08/30 07:29:45.016, 2450 MHz, 76, 67.47 W, 96 %
2026/08/30 07:29:50.017, 2450 MHz, 77, 69.06 W, 96 %
2026/08/30 07:29:55.017, 2450 MHz, 77, 68.70 W, 96 %
2026/08/30 07:30:00.018, 2444 MHz, 77, 70.31 W, 96 %
2026/08/30 07:30:05.019, 2444 MHz, 78, 69.72 W, 96 %
2026/08/30 07:30:10.020, 2463 MHz, 73, 40.85 W, 95 %
2026/08/30 07:30:15.021, 2457 MHz, 76, 56.64 W, 95 %
2026/08/30 07:30:20.022, 2444 MHz, 76, 68.70 W, 96 %
2026/08/30 07:30:25.023, 2450 MHz, 76, 69.32 W, 96 %
2026/08/30 07:30:30.023, 2444 MHz, 77, 69.21 W, 96 %
2026/08/30 07:30:35.024, 2444 MHz, 77, 69.67 W, 96 %
2026/08/30 07:30:40.025, 2483 MHz, 72, 40.39 W, 95 %
2026/08/30 07:30:45.027, 2450 MHz, 76, 67.71 W, 96 %
2026/08/30 07:30:50.027, 2444 MHz, 77, 68.88 W, 96 %
2026/08/30 07:30:55.029, 2450 MHz, 76, 68.47 W, 96 %
2026/08/30 07:31:00.030, 2444 MHz, 77, 69.96 W, 96 %
2026/08/30 07:31:05.031, 2444 MHz, 77, 69.18 W, 96 %
2026/08/30 07:31:10.031, 2483 MHz, 71, 40.48 W, 95 %
2026/08/30 07:31:15.032, 2450 MHz, 75, 67.32 W, 96 %
2026/08/30 07:31:20.033, 2444 MHz, 76, 68.70 W, 96 %
2026/08/30 07:31:25.034, 2444 MHz, 77, 69.84 W, 96 %
2026/08/30 07:31:30.035, 2450 MHz, 77, 68.80 W, 96 %
2026/08/30 07:31:35.036, 2444 MHz, 77, 69.89 W, 96 %
