2026/08/30 09:23:12.503, 2515 MHz, 51, 15.10 W, 0 %
2026/08/30 09:23:17.509, 2515 MHz, 51, 14.99 W, 0 %
2026/08/30 09:23:22.510, 2515 MHz, 51, 14.93 W, 0 %
2026/08/30 09:23:27.512, 2515 MHz, 51, 14.95 W, 0 %
2026/08/30 09:23:32.513, 2515 MHz, 51, 14.93 W, 0 %
2026/08/30 09:23:37.515, 2515 MHz, 51, 14.93 W, 0 %
2026/08/30 09:23:42.515, 2515 MHz, 51, 15.02 W, 0 %
2026/08/30 09:23:47.516, 2515 MHz, 51, 14.85 W, 0 %
2026/08/30 09:23:52.517, 2515 MHz, 51, 14.78 W, 0 %
2026/08/30 09:23:57.518, 2515 MHz, 51, 14.92 W, 0 %
2026/08/30 09:24:02.520, 2515 MHz, 51, 14.94 W, 0 %
2026/08/30 09:24:07.521, 2515 MHz, 51, 14.95 W, 0 %
2026/08/30 09:24:12.522, 2515 MHz, 51, 14.99 W, 0 %
2026/08/30 09:24:17.524, 2515 MHz, 51, 14.88 W, 0 %
2026/08/30 09:24:22.525, 2515 MHz, 51, 14.93 W, 0 %
2026/08/30 09:24:27.526, 2515 MHz, 51, 14.85 W, 0 %
2026/08/30 09:24:32.527, 2515 MHz, 50, 14.89 W, 0 %
2026/08/30 09:24:37.528, 2515 MHz, 50, 14.94 W, 0 %
2026/08/30 09:24:42.530, 2515 MHz, 50, 14.91 W, 0 %
2026/08/30 09:24:47.531, 2515 MHz, 50, 14.91 W, 0 %
2026/08/30 09:24:52.532, 2515 MHz, 50, 14.86 W, 0 %
2026/08/30 09:24:57.533, 2515 MHz, 50, 14.84 W, 0 %
2026/08/30 09:25:02.535, 2515 MHz, 50, 14.80 W, 0 %
2026/08/30 09:25:07.536, 2515 MHz, 50, 14.87 W, 0 %
2026/08/30 09:25:12.537, 2515 MHz, 50, 14.85 W, 0 %
2026/08/30 09:25:17.538, 2515 MHz, 50, 14.80 W, 0 %
2026/08/30 09:25:22.540, 2515 MHz, 50, 14.83 W, 0 %
2026/08/30 09:25:27.541, 2515 MHz, 50, 14.83 W, 0 %
2026/08/30 09:25:32.542, 2515 MHz, 50, 14.79 W, 0 %
2026/08/30 09:25:37.544, 2515 MHz, 50, 14.73 W, 0 %
2026/08/30 09:25:42.545, 2515 MHz, 50, 14.79 W, 0 %
2026/08/30 09:25:47.546, 2515 MHz, 50, 14.70 W, 0 %
2026/08/30 09:25:52.548, 2515 MHz, 50, 14.80 W, 0 %
2026/08/30 09:25:57.549, 2515 MHz, 50, 14.69 W, 0 %
2026/08/30 09:26:02.550, 2515 MHz, 50, 14.71 W, 0 %
2026/08/30 09:26:07.551, 2515 MHz, 50, 14.72 W, 0 %
2026/08/30 09:26:12.553, 2515 MHz, 50, 14.77 W, 0 %
2026/08/30 09:26:17.554, 2515 MHz, 50, 14.69 W, 0 %
2026/08/30 09:26:22.556, 2515 MHz, 50, 14.76 W, 0 %
2026/08/30 09:26:27.558, 2515 MHz, 50, 14.70 W, 0 %
2026/08/30 09:26:32.559, 2515 MHz, 50, 14.71 W, 0 %
2026/08/30 09:26:37.560, 2515 MHz, 50, 14.61 W, 0 %
2026/08/30 09:26:42.562, 2515 MHz, 50, 14.70 W, 0 %
2026/08/30 09:26:47.564, 2515 MHz, 50, 14.71 W, 0 %
2026/08/30 09:26:52.565, 2515 MHz, 50, 14.69 W, 0 %
2026/08/30 09:26:57.566, 2515 MHz, 50, 14.70 W, 0 %
2026/08/30 09:27:02.567, 2515 MHz, 50, 14.59 W, 0 %
2026/08/30 09:27:07.568, 2515 MHz, 50, 14.56 W, 0 %
2026/08/30 09:27:12.570, 2515 MHz, 49, 14.65 W, 0 %
2026/08/30 09:27:17.570, 2515 MHz, 49, 14.69 W, 0 %
2026/08/30 09:27:22.571, 2515 MHz, 49, 14.64 W, 0 %
2026/08/30 09:27:27.572, 2515 MHz, 49, 14.60 W, 0 %
2026/08/30 09:27:32.574, 2515 MHz, 49, 14.63 W, 0 %
2026/08/30 09:27:37.575, 2515 MHz, 49, 14.59 W, 0 %
2026/08/30 09:27:42.577, 2515 MHz, 49, 14.55 W, 0 %
2026/08/30 09:27:47.578, 2515 MHz, 49, 14.60 W, 0 %
2026/08/30 09:27:52.579, 2515 MHz, 49, 14.63 W, 0 %
2026/08/30 09:27:57.580, 2515 MHz, 49, 14.69 W, 0 %
2026/08/30 09:28:02.582, 2515 MHz, 49, 14.60 W, 0 %
2026/08/30 09:28:07.583, 2515 MHz, 49, 14.59 W, 0 %
2026/08/30 09:28:12.585, 2515 MHz, 49, 14.54 W, 0 %
2026/08/30 09:28:17.586, 2515 MHz, 49, 14.52 W, 0 %
2026/08/30 09:28:22.587, 2515 MHz, 49, 14.57 W, 0 %
2026/08/30 09:28:27.589, 2515 MHz, 49, 14.53 W, 0 %
2026/08/30 09:28:32.591, 2515 MHz, 49, 14.53 W, 0 %
2026/08/30 09:28:37.592, 2515 MHz, 49, 14.53 W, 0 %
2026/08/30 09:28:42.593, 2515 MHz, 49, 14.51 W, 0 %
2026/08/30 09:28:47.594, 2515 MHz, 49, 14.57 W, 0 %
2026/08/30 09:28:52.596, 2515 MHz, 49, 14.55 W, 0 %
2026/08/30 09:28:57.597, 2515 MHz, 49, 14.62 W, 0 %
2026/08/30 09:29:02.599, 2515 MHz, 49, 14.52 W, 0 %
2026/08/30 09:29:07.600, 2515 MHz, 49, 14.61 W, 0 %
