2026/08/29 23:04:55.509, 2502 MHz, 56, 16.72 W, 0 %
2026/08/29 23:05:00.519, 2502 MHz, 56, 16.72 W, 0 %
2026/08/29 23:05:05.519, 2470 MHz, 63, 63.64 W, 96 %
2026/08/29 23:05:10.521, 2502 MHz, 62, 37.69 W, 94 %
2026/08/29 23:05:15.521, 2483 MHz, 64, 38.33 W, 94 %
2026/08/29 23:05:20.522, 2483 MHz, 65, 41.03 W, 95 %
2026/08/29 23:05:25.523, 2483 MHz, 67, 38.89 W, 95 %
2026/08/29 23:05:30.524, 2483 MHz, 67, 39.16 W, 95 %
2026/08/29 23:05:35.525, 2483 MHz, 67, 39.09 W, 94 %
2026/08/29 23:05:40.526, 2450 MHz, 73, 59.31 W, 96 %
2026/08/29 23:05:45.527, 2483 MHz, 68, 39.35 W, 95 %
2026/08/29 23:05:50.528, 2483 MHz, 68, 39.48 W, 94 %
2026/08/29 23:05:55.528, 2483 MHz, 69, 45.44 W, 94 %
2026/08/29 23:06:00.530, 2483 MHz, 68, 39.61 W, 94 %
2026/08/29 23:06:05.530, 2483 MHz, 69, 39.45 W, 94 %
2026/08/29 23:06:10.531, 2483 MHz, 69, 39.51 W, 95 %
2026/08/29 23:06:15.531, 2450 MHz, 74, 67.25 W, 95 %
2026/08/29 23:06:20.532, 2483 MHz, 69, 39.52 W, 95 %
2026/08/29 23:06:25.533, 2483 MHz, 68, 38.96 W, 95 %
2026/08/29 23:06:30.534, 2483 MHz, 70, 45.59 W, 94 %
2026/08/29 23:06:35.534, 2483 MHz, 74, 41.63 W, 94 %
2026/08/29 23:06:40.534, 2483 MHz, 69, 39.92 W, 95 %
2026/08/29 23:06:45.535, 2483 MHz, 70, 39.83 W, 95 %
2026/08/29 23:06:50.536, 2444 MHz, 74, 67.65 W, 96 %
2026/08/29 23:06:55.537, 2483 MHz, 70, 39.89 W, 95 %
2026/08/29 23:07:00.538, 2483 MHz, 70, 39.92 W, 94 %
2026/08/29 23:07:05.539, 2476 MHz, 70, 58.37 W, 96 %
2026/08/29 23:07:10.539, 2483 MHz, 70, 39.99 W, 95 %
2026/08/29 23:07:15.540, 2483 MHz, 70, 40.04 W, 95 %
2026/08/29 23:07:20.541, 2483 MHz, 70, 39.81 W, 94 %
2026/08/29 23:07:25.543, 2444 MHz, 75, 51.24 W, 94 %
2026/08/29 23:07:30.543, 2483 MHz, 70, 39.79 W, 94 %
2026/08/29 23:07:35.544, 2483 MHz, 70, 39.90 W, 94 %
2026/08/29 23:07:40.545, 2444 MHz, 74, 67.59 W, 96 %
2026/08/29 23:07:45.547, 2483 MHz, 70, 39.84 W, 94 %
2026/08/29 23:07:50.547, 2483 MHz, 70, 39.93 W, 94 %
2026/08/29 23:07:55.548, 2483 MHz, 71, 53.24 W, 95 %
2026/08/29 23:08:00.549, 2483 MHz, 71, 40.11 W, 94 %
2026/08/29 23:08:05.550, 2483 MHz, 71, 40.05 W, 94 %
2026/08/29 23:08:10.550, 2483 MHz, 71, 40.24 W, 94 %
2026/08/29 23:08:15.552, 2457 MHz, 75, 49.75 W, 94 %
2026/08/29 23:08:20.552, 2483 MHz, 71, 40.14 W, 95 %
2026/08/29 23:08:25.553, 2483 MHz, 71, 40.21 W, 95 %
2026/08/29 23:08:30.554, 2444 MHz, 75, 63.62 W, 96 %
2026/08/29 23:08:35.554, 2483 MHz, 71, 40.24 W, 95 %
2026/08/29 23:08:40.555, 2483 MHz, 71, 40.18 W, 94 %
2026/08/29 23:08:45.556, 2450 MHz, 73, 66.07 W, 96 %
