2026/08/29 23:11:55.628, 2515 MHz, 50, 14.77 W, 0 %
2026/08/29 23:12:00.629, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:12:05.629, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:12:10.630, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:12:15.631, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:12:20.631, 2515 MHz, 50, 14.96 W, 0 %
2026/08/29 23:12:25.632, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:12:30.633, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:12:35.633, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:12:40.634, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:12:45.635, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:12:50.635, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:12:55.637, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:13:00.637, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:13:05.638, 2515 MHz, 50, 14.98 W, 0 %
2026/08/29 23:13:10.639, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:13:15.639, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:13:20.641, 2515 MHz, 50, 14.84 W, 0 %
2026/08/29 23:13:25.642, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:13:30.643, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:13:35.644, 2515 MHz, 50, 14.83 W, 0 %
2026/08/29 23:13:40.645, 2515 MHz, 50, 14.86 W, 0 %
2026/08/29 23:13:45.646, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:13:50.647, 2515 MHz, 50, 14.81 W, 0 %
2026/08/29 23:13:55.648, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:14:00.649, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:14:05.649, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:14:10.651, 2515 MHz, 50, 14.79 W, 0 %
2026/08/29 23:14:15.652, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:14:20.653, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:14:25.654, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:14:30.655, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:14:35.656, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:14:40.657, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:14:45.658, 2515 MHz, 50, 14.98 W, 0 %
2026/08/29 23:14:50.658, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:14:55.659, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:15:00.661, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:15:05.662, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:15:10.662, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:15:15.663, 2515 MHz, 50, 14.99 W, 0 %
2026/08/29 23:15:20.664, 2515 MHz, 50, 14.96 W, 0 %
2026/08/29 23:15:25.665, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:15:30.665, 2515 MHz, 50, 14.96 W, 0 %
2026/08/29 23:15:35.666, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:15:40.667, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:15:45.667, 2515 MHz, 50, 14.79 W, 0 %
2026/08/29 23:15:50.669, 2515 MHz, 50, 14.82 W, 0 %
2026/08/29 23:15:55.670, 2515 MHz, 50, 14.89 W, 0 %
2026/08/29 23:16:00.671, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:16:05.671, 2515 MHz, 50, 14.95 W, 0 %
2026/08/29 23:16:10.672, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:16:15.672, 2515 MHz, 50, 14.88 W, 0 %
2026/08/29 23:16:20.673, 2515 MHz, 50, 14.80 W, 0 %
2026/08/29 23:16:25.674, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:16:30.675, 2515 MHz, 50, 14.92 W, 0 %
2026/08/29 23:16:35.675, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:16:40.676, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:16:45.676, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:16:50.677, 2515 MHz, 50, 14.85 W, 0 %
2026/08/29 23:16:55.678, 2515 MHz, 50, 14.91 W, 0 %
2026/08/29 23:17:00.679, 2515 MHz, 50, 14.87 W, 0 %
2026/08/29 23:17:05.681, 2515 MHz, 50, 14.94 W, 0 %
2026/08/29 23:17:10.682, 2515 MHz, 50, 14.93 W, 0 %
2026/08/29 23:17:15.683, 2515 MHz, 50, 14.90 W, 0 %
2026/08/29 23:17:20.684, 2515 MHz, 50, 14.86 W, 0 %
