2026/08/30 06:11:44.002, 2515 MHz, 51, 14.96 W, 0 %
2026/08/30 06:11:49.012, 2515 MHz, 52, 18.37 W, 96 %
2026/08/30 06:11:54.013, 2496 MHz, 56, 32.83 W, 94 %
2026/08/30 06:11:59.014, 2496 MHz, 57, 44.49 W, 96 %
2026/08/30 06:12:04.015, 2496 MHz, 58, 33.21 W, 94 %
2026/08/30 06:12:09.016, 2496 MHz, 58, 33.14 W, 94 %
2026/08/30 06:12:14.017, 2496 MHz, 60, 34.03 W, 94 %
2026/08/30 06:12:19.018, 2470 MHz, 62, 54.91 W, 96 %
2026/08/30 06:12:24.020, 2496 MHz, 60, 34.27 W, 94 %
2026/08/30 06:12:29.021, 2496 MHz, 61, 34.45 W, 93 %
2026/08/30 06:12:34.022, 2496 MHz, 62, 35.02 W, 93 %
2026/08/30 06:12:39.023, 2476 MHz, 63, 34.69 W, 94 %
2026/08/30 06:12:44.024, 2476 MHz, 66, 36.29 W, 94 %
2026/08/30 06:12:49.025, 2476 MHz, 63, 34.54 W, 94 %
2026/08/30 06:12:54.026, 2476 MHz, 64, 34.92 W, 94 %
2026/08/30 06:12:59.027, 2470 MHz, 67, 57.35 W, 96 %
2026/08/30 06:13:04.028, 2476 MHz, 64, 34.94 W, 94 %
2026/08/30 06:13:09.029, 2476 MHz, 65, 34.92 W, 94 %
2026/08/30 06:13:14.031, 2476 MHz, 65, 35.20 W, 94 %
2026/08/30 06:13:19.032, 2470 MHz, 68, 46.11 W, 96 %
2026/08/30 06:13:24.033, 2470 MHz, 70, 59.24 W, 96 %
2026/08/30 06:13:29.034, 2476 MHz, 66, 35.33 W, 93 %
2026/08/30 06:13:34.035, 2463 MHz, 70, 58.92 W, 96 %
2026/08/30 06:13:39.036, 2476 MHz, 67, 35.81 W, 94 %
2026/08/30 06:13:44.037, 2457 MHz, 71, 58.46 W, 96 %
2026/08/30 06:13:49.038, 2476 MHz, 68, 43.46 W, 94 %
2026/08/30 06:13:54.039, 2470 MHz, 69, 38.66 W, 93 %
2026/08/30 06:13:59.039, 2457 MHz, 72, 60.13 W, 96 %
2026/08/30 06:14:04.040, 2476 MHz, 68, 36.05 W, 95 %
2026/08/30 06:14:09.041, 2450 MHz, 73, 59.53 W, 96 %
2026/08/30 06:14:14.042, 2476 MHz, 69, 36.41 W, 94 %
2026/08/30 06:14:19.043, 2450 MHz, 72, 58.26 W, 95 %
2026/08/30 06:14:24.044, 2476 MHz, 70, 39.19 W, 94 %
2026/08/30 06:14:29.046, 2476 MHz, 69, 36.44 W, 93 %
2026/08/30 06:14:34.047, 2450 MHz, 73, 60.52 W, 96 %
2026/08/30 06:14:39.048, 2476 MHz, 70, 36.54 W, 94 %
2026/08/30 06:14:44.049, 2450 MHz, 74, 59.87 W, 96 %
2026/08/30 06:14:49.050, 2476 MHz, 70, 36.78 W, 94 %
2026/08/30 06:14:54.051, 2450 MHz, 74, 54.07 W, 96 %
2026/08/30 06:14:59.052, 2450 MHz, 75, 59.48 W, 95 %
2026/08/30 06:15:04.053, 2476 MHz, 70, 34.11 W, 95 %
2026/08/30 06:15:09.054, 2450 MHz, 76, 60.72 W, 96 %
2026/08/30 06:15:14.055, 2476 MHz, 71, 36.95 W, 94 %
2026/08/30 06:15:19.056, 2450 MHz, 74, 59.75 W, 96 %
2026/08/30 06:15:24.058, 2476 MHz, 72, 49.08 W, 96 %
2026/08/30 06:15:29.059, 2476 MHz, 71, 36.92 W, 94 %
2026/08/30 06:15:34.060, 2450 MHz, 75, 61.14 W, 96 %
2026/08/30 06:15:39.061, 2476 MHz, 71, 37.05 W, 94 %
2026/08/30 06:15:44.062, 2450 MHz, 76, 60.47 W, 96 %
2026/08/30 06:15:49.063, 2476 MHz, 72, 37.21 W, 93 %
2026/08/30 06:15:54.064, 2450 MHz, 75, 43.67 W, 96 %
2026/08/30 06:15:59.065, 2444 MHz, 76, 61.20 W, 96 %
2026/08/30 06:16:04.065, 2450 MHz, 77, 61.92 W, 96 %
