2026/08/30 06:11:44.011, 2522 MHz, 52, 16.30 W, 0 %
2026/08/30 06:11:49.021, 2522 MHz, 54, 19.45 W, 96 %
2026/08/30 06:11:54.023, 2502 MHz, 57, 35.28 W, 93 %
2026/08/30 06:11:59.024, 2489 MHz, 60, 50.08 W, 95 %
2026/08/30 06:12:04.025, 2502 MHz, 61, 35.90 W, 94 %
2026/08/30 06:12:09.027, 2502 MHz, 62, 35.97 W, 94 %
2026/08/30 06:12:14.028, 2483 MHz, 64, 36.99 W, 94 %
2026/08/30 06:12:19.028, 2470 MHz, 68, 60.31 W, 96 %
2026/08/30 06:12:24.029, 2483 MHz, 66, 37.44 W, 94 %
2026/08/30 06:12:29.029, 2483 MHz, 66, 37.75 W, 94 %
2026/08/30 06:12:34.030, 2483 MHz, 67, 38.25 W, 94 %
2026/08/30 06:12:39.031, 2483 MHz, 67, 37.99 W, 95 %
2026/08/30 06:12:44.032, 2483 MHz, 66, 37.62 W, 75 %
2026/08/30 06:12:49.033, 2483 MHz, 66, 37.69 W, 94 %
2026/08/30 06:12:54.034, 2483 MHz, 67, 37.85 W, 94 %
2026/08/30 06:12:59.035, 2463 MHz, 71, 58.51 W, 96 %
2026/08/30 06:13:04.036, 2483 MHz, 66, 37.58 W, 94 %
2026/08/30 06:13:09.037, 2483 MHz, 66, 37.41 W, 94 %
2026/08/30 06:13:14.038, 2483 MHz, 67, 37.78 W, 95 %
2026/08/30 06:13:19.039, 2470 MHz, 71, 45.72 W, 96 %
2026/08/30 06:13:24.040, 2463 MHz, 71, 61.82 W, 96 %
2026/08/30 06:13:29.041, 2483 MHz, 67, 37.86 W, 93 %
2026/08/30 06:13:34.041, 2457 MHz, 71, 61.90 W, 95 %
2026/08/30 06:13:39.043, 2483 MHz, 68, 38.27 W, 94 %
2026/08/30 06:13:44.043, 2463 MHz, 72, 61.39 W, 96 %
2026/08/30 06:13:49.044, 2483 MHz, 68, 49.12 W, 94 %
2026/08/30 06:13:54.045, 2483 MHz, 67, 38.14 W, 66 %
2026/08/30 06:13:59.047, 2450 MHz, 73, 62.76 W, 96 %
2026/08/30 06:14:04.047, 2483 MHz, 68, 38.28 W, 95 %
2026/08/30 06:14:09.048, 2450 MHz, 72, 62.30 W, 96 %
2026/08/30 06:14:14.049, 2483 MHz, 69, 38.35 W, 94 %
2026/08/30 06:14:19.050, 2457 MHz, 73, 61.05 W, 96 %
2026/08/30 06:14:24.052, 2483 MHz, 69, 45.26 W, 95 %
2026/08/30 06:14:29.053, 2483 MHz, 69, 38.51 W, 95 %
2026/08/30 06:14:34.053, 2450 MHz, 72, 62.41 W, 96 %
