nodes	mnbt	c	median_decode_tok_s	agg_tok_s	ttft_ms
2	8192	1	28.4	26.9	246
2	8192	4	22.8	71.9	689
2	8192	8	16.8	107.2	1114
2	8192	16	12.6	149.3	2415
