nst	mnbt	c	median_decode_tok_s	agg_tok_s	ttft_ms
7	8192	1	79.5	66.7	308
7	8192	4	49.3	151.2	762
7	8192	8	35.4	208.8	1107
7	8192	16	15.9	197.2	1760
