nst	mnbt	c	median_decode_tok_s	agg_tok_s	ttft_ms
5	8192	1	71.9	60.0	302
5	8192	4	47.2	144.3	790
5	8192	8	37.3	218.1	1171
5	8192	16	15.7	199.9	1877
