nodes	mnbt	c	median_decode_tok_s	agg_tok_s	ttft_ms
2	8192	1	20.3	19.9	146
2	8192	4	18.6	69.5	492
2	8192	8	16.7	120.5	854
2	8192	16	14.9	192.6	2062
