nodes	mnbt	c	median_decode_tok_s	agg_tok_s	ttft_ms
3	8192	1	32.0	30.2	239
3	8192	4	26.3	89.7	647
3	8192	8	16.9	108.1	1048
3	8192	16	12.1	145.1	2125
